scenario_id,SEASON,NAME,node_id,node_name,node_type,p_is_uncalibrated,p_is_calibrated,disrupted,scenario_weight
2000217N11342,2000,ALBERTO,N14,Charlotte,Warehouse,0.0018339805825242717,0.00023559393896783857,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N1,Houston,Port,0.0,4.110636932918752e-09,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N2,New Orleans,Port,0.0,4.110636932918752e-09,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N3,Miami,Market,0.013372172293246904,0.002189084974474512,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N4,Orlando,Warehouse,0.015304335782639953,0.0026453613871570284,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N5,Atlanta,Warehouse,0.0,4.110636932918752e-09,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N6,Dallas,Supplier,0.0,4.110636932918752e-09,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N7,Tampa,Market,0.01145569430582552,0.001762638063724254,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N8,Jacksonville,Port,0.01145569430582552,0.001762638063724254,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N9,Mobile,Port,0.0,4.110636932918752e-09,0,0.0021551724137931034
2000222N28286,2000,UNNAMED,N10,Savannah,Port,0.005672608232751486,0.0006607681223872719,0,0.0021551724137931034
